   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       19    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       66    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       29    0.000    0.000    0.001    0.000 connection.py:381(_send)
      6/4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        8    0.000    0.000    0.000    0.000 pool.py:809(_set)
        6    0.000    0.000    0.000    0.000 random.py:458(choices)
        9    0.000    0.000    0.000    0.000 pool.py:633(_get_tasks)
       16    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        3    0.000    0.000    0.000    0.000 threading.py:953(start)
       50    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        5    0.000    0.000    0.000    0.000 connection.py:182(send_bytes)
        1    0.000    0.000   20.708   20.708 util.py:197(__call__)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
        1    0.000    0.000   20.728   20.728 pool.py:738(__exit__)
        1    0.000    0.000    0.001    0.001 pool.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        4    0.000    0.000    0.006    0.002 threading.py:327(wait)
       22    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       23    0.000    0.000    0.001    0.000 queues.py:372(empty)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
       42    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       21    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      110    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _posixshmem.shm_unlink}
        1    0.000    0.000   20.686   20.686 pool.py:369(starmap)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      3/1    0.000    0.000   20.691   20.691 threading.py:981(run)
       46    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 pool.py:506(_handle_workers)
        6    0.000    0.000    0.001    0.000 context.py:65(Lock)
        8    0.000    0.000    0.000    0.000 __init__.py:231(_prepareFork)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        8    0.000    0.000    0.000    0.000 process.py:193(name)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.001    0.000 resource_tracker.py:194(_send)
